Gene ID	Organism	Genomic Location (Gene)	Product Description	Gene Name or Symbol	
Tb927.8.520	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:142,728..148,012(-)	hypothetical protein	N/A	
Tb927.8.6670	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,931,253..1,932,849(-)	hypothetical protein, conserved	N/A	
Tb927.8.7130	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,056,469..2,057,145(+)	hypothetical protein, conserved	N/A	
Tb927.8.5050	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:1,491,031..1,495,547(+)	OTU-like cysteine protease, putative	N/A	
Tb927.8.7400	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,128,849..2,134,342(+)	RNA polymerase IIA largest subunit	RPB1	
Tb927.9.880	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:227,472..227,567(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.9.17090	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:2,825,606..2,827,148(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.9.12170	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,902,175..1,907,585(+)	leucine-rich repeat protein (LRRP), putative	N/A	
Tb927.9.5900	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:995,153..999,575(+)	glutamate dehydrogenase	GDH	
Tb927.9.3840	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:756,224..756,712(+)	hypothetical protein, conserved	N/A	
Tb927.9.1780	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:423,748..425,654(-)	sec1 family transport protein, putative	SLY1	
Tb927.10.5180	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:1,279,373..1,283,644(+)	TPR-repeat-containing chaperone protein DNAJ, putative	J67	
Tb927.10.1780	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:468,247..469,591(-)	hypothetical protein	N/A	
Tb927.10.2170	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:559,890..560,081(+)	hypothetical protein	N/A	
Tb927.10.14780	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,603,405..3,605,783(-)	Canertinib-binding protein kinase 1	CBPK1	
Tb927.10.2500	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:651,597..652,683(+)	hypothetical protein, conserved	N/A	
Tb927_10_v4.snoRNA.0005:snoRNA	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,882,260..3,882,358(+)	term	N/A	
Tb927.10.14070	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,425,494..3,426,691(-)	mevalonate diphosphate decarboxylase	N/A	
Tb927.6.3440	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:1,014,417..1,015,564(-)	NUDIX hydrolase domain-like domain-containing protein	N/A	
Tb927.10.12950	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,146,931..3,149,879(-)	Basal body protein	BBP110	
Tb927.11.18150	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,912,534..4,916,213(-)	variant surface glycoprotein (VSG), frameshifted and degenerate	N/A	
Tb927.11.20620	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:655,525..657,239(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.10.15550	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,816,987..3,820,730(+)	hypothetical protein, conserved	N/A	
Tb927.11.2380	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:683,915..687,063(+)	phosphoglycerate kinase, putative	PGKL	
Tb927.1.1030	Trypanosoma brucei brucei TREU927	Tb927_01_v5.1:296,918..298,629(+)	Nucleolar protein 49	NOP49	
Tb927.10.12740	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,092,982..3,095,922(-)	Zinc finger CCCH domain-containing protein 35	ZC3H35	
Tb11.0160	Trypanosoma brucei brucei TREU927	tryp_XI-1032b03.p2k737:19,786..20,661(-)	expression site-associated gene 3 (ESAG3), degenerate	N/A	
Tb11.1090	Trypanosoma brucei brucei TREU927	tryp_XI-339b02.q2k2024:50..1,525(+)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.3.370	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:76,227..77,962(+)	variant surface glycoprotein (VSG, atypical), putative	N/A	
Tb927.3.1130	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:275,749..277,813(+)	DNA polymerase delta subunit 2, putative	N/A	
Tb927.8.8150	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:2,410,597..2,411,720(+)	C2 domain containing protein, putative	N/A	
Tb927_08_v4.snoRNA.0006	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:533,809..533,882(+)	C/D snoRNA	N/A	
Tb927.10.13210	Trypanosoma brucei brucei TREU927	Tb927_10_v5.1:3,213,469..3,215,335(-)	dolichyl-P-Man:GDP-ManGlcNAc2-PP-dolichyl beta-1,4-mannosyltransferase, putative	N/A	
Tb11.v5.0421	Trypanosoma brucei brucei TREU927	Tb927_11_bin_v5.1:1,640,646..1,642,310(+)	75 kDa invariant surface glycoprotein, putative	N/A	
Tb927.3.2080	Trypanosoma brucei brucei TREU927	Tb927_03_v5.1:548,257..549,166(-)	hypothetical protein, conserved	N/A	
Tb927.8.2420	Trypanosoma brucei brucei TREU927	Tb927_08_v5.1:725,932..727,403(+)	hypothetical protein, conserved	N/A	
Tb927.11.20480	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:610,919..612,643(-)	variant surface glycoprotein (VSG, pseudogene), putative	N/A	
Tb927.5.3400	Trypanosoma brucei brucei TREU927	Tb927_05_v5.1:1,130,510..1,134,466(-)	calcium-translocating P-type ATPase	N/A	
Tb07.30D13.130	Trypanosoma brucei brucei TREU927	Tb927_07_v5.1:2,184,767..2,185,687(+)	hypothetical protein, conserved (pseudogene)	N/A	
Tb927.11.18940	Trypanosoma brucei brucei TREU927	Tb927_11_RH_fork_v5.1:100,894..102,070(+)	variant surface protein (VSG), putative	N/A	
Tb927.11.17180	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:4,616,627..4,617,650(-)	expression site-associated gene 3 (ESAG3), degenerate and frameshifted	N/A	
Tb927.11.10550	Trypanosoma brucei brucei TREU927	Tb927_11_v5.1:2,808,495..2,811,597(+)	hypothetical protein, conserved	N/A	
Tb927.6.950	Trypanosoma brucei brucei TREU927	Tb927_06_v5.1:402,054..404,442(-)	cysteinyl-tRNA synthetase, putative	N/A	
Tb927.9.7930	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,312,656..1,313,610(-)	hypothetical protein, conserved	N/A	
Tb927.9.7920	Trypanosoma brucei brucei TREU927	Tb927_09_v5.1:1,310,768..1,312,424(-)	hypothetical protein, conserved	N/A	
